,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
InterestPaid,56600000.000,,,,55300000.000,,,,66900000.000,,,,66800000.000,,,,44600000.000,,,,42400000.000,,,,42400000.000
InvestmentIncomeNonoperating,18800000.000,4600000.000,3700000.000,9600000.000,12100000.000,6100000.000,13100000.000,7400000.000,3600000.000,18700000.000,12600000.000,10000000.000,3200000.000,15100000.000,7400000.000,10100000.000,5700000.000,18500000.000,2500000.000,3400000.000,17600000.000,17200000.000,36500000.000,70500000.000,138900000.000
LaborAndRelatedExpense,122300000.000,117500000.000,119900000.000,116000000.000,135100000.000,131100000.000,117500000.000,113000000.000,129400000.000,128900000.000,134000000.000,126600000.000,135500000.000,139700000.000,132100000.000,144800000.000,141300000.000,141500000.000,136400000.000,134500000.000,131900000.000,131700000.000,130600000.000,146800000.000,142300000.000
LicenseCosts,23500000.000,18600000.000,22600000.000,20200000.000,20700000.000,23300000.000,19200000.000,19400000.000,21200000.000,26900000.000,25700000.000,24100000.000,29000000.000,25700000.000,25500000.000,34000000.000,30600000.000,28800000.000,33100000.000,31300000.000,39000000.000,32800000.000,31500000.000,32500000.000,33800000.000
LossOnCashFlowHedgeIneffectiveness,,,,,,,,,,,,,,,,,1800000.000,0.000,0.000,,0.000,0.000,0.000,,
MarketDataRevenue,,,,,,,,,80900000.000,79400000.000,78600000.000,76500000.000,89400000.000,89600000.000,87700000.000,89600000.000,98000000.000,102800000.000,99500000.000,99100000.000,102400000.000,102900000.000,101100000.000,100100000.000,96800000.000
NetCashProvidedByUsedInFinancingActivities,-511000000.000,,,,-335800000.000,,,,-136300000.000,,,,-1769600000.000,,,,-65800000.000,,,,-1039000000.000,,,,-1323700000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-511000000.000,,,,-335800000.000,,,,-136300000.000,,,,-1769600000.000,,,,-65800000.000,,,,-1039000000.000,,,,-1323700000.000
NetCashProvidedByUsedInInvestingActivities,-41600000.000,,,,-40400000.000,,,,-21000000.000,,,,-29400000.000,,,,-24400000.000,,,,-27300000.000,,,,224200000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-41600000.000,,,,-40400000.000,,,,-21000000.000,,,,-29400000.000,,,,-24400000.000,,,,-27300000.000,,,,224200000.000
NetCashProvidedByUsedInOperatingActivities,362100000.000,,,,395600000.000,,,,396000000.000,,,,383000000.000,,,,418900000.000,,,,519700000.000,,,,518700000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,362100000.000,,,,395600000.000,,,,396000000.000,,,,383000000.000,,,,418900000.000,,,,519700000.000,,,,518700000.000
NetIncomeLoss,456600000.000,293700000.000,316100000.000,745900000.000,266600000.000,244900000.000,218000000.000,166800000.000,235800000.000,311200000.000,236700000.000,193100000.000,266800000.000,263800000.000,290000000.000,306500000.000,330400000.000,265000000.000,359900000.000,291700000.000,367800000.000,,,,399800000.000
NetIncomeLossAttributableToNoncontrollingInterest,500000.000,1900000.000,-1100000.000,800000.000,-300000.000,,,,200000.000,,,,-200000.000,0.000,0.000,,0.000,0.000,0.000,0.000,,,,,
NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,,,,,,,,,,,,,,,,,,,,,,,,,800000.000
NonoperatingIncomeExpense,-12500000.000,-25200000.000,-26200000.000,-20700000.000,-17800000.000,41500000.000,-200000.000,-22100000.000,-17900000.000,-300000.000,-1600000.000,-16200000.000,-8100000.000,10100000.000,-1300000.000,2300000.000,16500000.000,-47000000.000,0.000,-1400000.000,4600000.000,2800000.000,23500000.000,54000000.000,105800000.000
OccupancyNet,19400000.000,19000000.000,18500000.000,20600000.000,20300000.000,18700000.000,18800000.000,19200000.000,18500000.000,19000000.000,19200000.000,21600000.000,23200000.000,23200000.000,24700000.000,25700000.000,22800000.000,23500000.000,23100000.000,23100000.000,21300000.000,24400000.000,19600000.000,21400000.000,20100000.000
OperatingIncomeLoss,524100000.000,534500000.000,572100000.000,390400000.000,451200000.000,469200000.000,396000000.000,375600000.000,405500000.000,507800000.000,400500000.000,323200000.000,454500000.000,412000000.000,430400000.000,471500000.000,507300000.000,495100000.000,516400000.000,469900000.000,573900000.000,563300000.000,525300000.000,540200000.000,601200000.000
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentBeforeTaxPeriodIncreaseDecrease,372600000.000,,,,99100000.000,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentBeforeTaxPeriodIncreaseDecrease,,,,,500000.000,0.000,0.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,-1700000.000,,,,700000.000,400000.000,400000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansTax,1100000.000,,,,-400000.000,-200000.000,-300000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,,,,,100000.000,100000.000,-34400000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesTaxEffectPeriodIncreaseDecrease,,,,,-100000.000,-100000.000,19800000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPeriodIncreaseDecrease,,,,,2400000.000,-2800000.000,5900000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,84200000.000,,,,1500000.000,9900000.000,3800000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationReclassificationAdjustmentRealizedUponSaleOrLiquidationBeforeTax,,,,,,18400000.000,0.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTax,13400000.000,,,,-900000.000,-5700000.000,-2100000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,,,,16300000.000,38800000.000,26600000.000,-300000.000,-200000.000,-200000.000,-300000.000,-1700000.000,-2000000.000,-100000.000,-200000.000,-700000.000,-200000.000,-200000.000,-200000.000,-100000.000,-200000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesTax,,,,,,,,,9400000.000,22200000.000,17400000.000,-98000000.000,100000.000,200000.000,-100000.000,1200000.000,-1200000.000,-200000.000,-100000.000,2600000.000,-100000.000,-100000.000,-100000.000,800000.000,-100000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,,,,,,,,7800000.000,-4600000.000,-1500000.000,-2500000.000,2400000.000,1800000.000,-6900000.000,-2500000.000,-4000000.000,-2600000.000,-3400000.000,-600000.000,-3300000.000,-1700000.000,-600000.000,-2600000.000,8400000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,,5000000.000,-2900000.000,-1000000.000,,1500000.000,1100000.000,-4300000.000,,-2500000.000,-1600000.000,-2300000.000,,-2100000.000,-1100000.000,-1400000.000,,5500000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentRealizedUponSaleOrLiquidationBeforeTax,,,,,,,,,,0.000,0.000,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,,,,,,,,,2800000.000,-1700000.000,-500000.000,-300000.000,-900000.000,-700000.000,-2600000.000,6300000.000,-1500000.000,-1000000.000,-1100000.000,7600000.000,-1200000.000,-600000.000,800000.000,2300000.000,2900000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,20700000.000,-76800000.000,24000000.000,-25200000.000,24300000.000,30400000.000,-76200000.000,-124300000.000,-32000000.000,30900000.000,-99700000.000,13800000.000,108900000.000,85200000.000,-90400000.000,-37000000.000,24900000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,,,53200000.000,-50500000.000,5400000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,,,,,20700000.000,,,,24300000.000,,,,,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,,,,,,,,,1100000.000,0.000,200000.000,,-3200000.000,0.000,0.000,,-300000.000,0.000,0.000,,3100000.000,0.000,0.000,,400000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,,,,-1100000.000,-600000.000,0.000,21300000.000,-1900000.000,0.000,0.000,-16600000.000,200000.000,500000.000,400000.000,-6400000.000,2400000.000,500000.000,500000.000,-4600000.000,700000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,,,,,,,,,700000.000,-200000.000,-600000.000,-11900000.000,1200000.000,-100000.000,0.000,10100000.000,200000.000,200000.000,200000.000,2600000.000,1500000.000,300000.000,300000.000,-1400000.000,400000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,,,,,,,,,,,-700000.000,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax,,,,,,,,,,,,,,,0.000,,,6000000.000,-2600000.000,,,0.000,6300000.000,,87100000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,,,,,,,,,,,,,-300000.000,-400000.000,400000.000,-1200000.000,300000.000,300000.000,300000.000,-2100000.000,300000.000,300000.000,300000.000,-2100000.000,300000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax,,,,,,,,,,,,,100000.000,100000.000,0.000,100000.000,700000.000,700000.000,600000.000,700000.000,800000.000,800000.000,800000.000,800000.000,700000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeBeforeTax,,,,,,,,,700000.000,700000.000,500000.000,-300000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeBeforeTax,,,,,-200000.000,-200000.000,-200000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostBeforeTax,,,,,600000.000,600000.000,700000.000,600000.000,-700000.000,800000.000,800000.000,2300000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax,500000.000,,,,0.000,0.000,-54400000.000,29100000.000,25000000.000,60300000.000,43500000.000,0.000,0.000,0.000,0.000,-2300000.000,-4700000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,300000.000,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,200000.000,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,,,,,99100000.000,-124200000.000,109500000.000,90300000.000,-2900000.000,-118000000.000,-18000000.000,-82100000.000,24900000.000,31000000.000,-66600000.000,-105900000.000,-27700000.000,36900000.000,-100200000.000,13000000.000,109600000.000,85800000.000,-17700000.000,-7700000.000,29400000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,266200000.000,,,,50900000.000,-60900000.000,35600000.000,82700000.000,-1700000.000,-113300000.000,-1600000.000,-41200000.000,24900000.000,29500000.000,-71600000.000,-104600000.000,-27700000.000,32100000.000,-97600000.000,21100000.000,108800000.000,86000000.000,-89300000.000,-30000000.000,18900000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,106400000.000,,,,48200000.000,-63300000.000,73900000.000,-123400000.000,-1200000.000,-4700000.000,-17100000.000,86900000.000,0.000,-1500000.000,5000000.000,-8700000.000,0.000,-1200000.000,0.000,-1400000.000,800000.000,-200000.000,65300000.000,-111700000.000,-76600000.000
OtherCostAndExpenseOperating,25500000.000,29100000.000,22400000.000,63400000.000,24300000.000,25600000.000,22700000.000,23000000.000,42300000.000,24100000.000,16400000.000,64100000.000,24200000.000,11100000.000,37900000.000,55400000.000,31700000.000,22400000.000,27700000.000,42600000.000,54400000.000,36800000.000,21800000.000,48700000.000,24900000.000
OtherNoncashIncomeExpense,,,,,300000.000,,,,-2500000.000,,,,-1200000.000,,,,-2600000.000,,,,0.000,,,,-100000.000
OtherNonoperatingIncomeExpense,,,,,,65200000.000,400000.000,,,0.000,0.000,,,1800000.000,0.000,,21700000.000,-62900000.000,-800000.000,-800000.000,-10000000.000,-10400000.000,-10500000.000,-12700000.000,-34100000.000
OtherSalesRevenueNet,21800000.000,31300000.000,22500000.000,17200000.000,19600000.000,18900000.000,15000000.000,13700000.000,23000000.000,23600000.000,17800000.000,12900000.000,15400000.000,12300000.000,12100000.000,17400000.000,15200000.000,13900000.000,14200000.000,14100000.000,14100000.000,13600000.000,12600000.000,20600000.000,16200000.000
PaymentsForProceedsFromDerivativeInstrumentInvestingActivities,,,,,,,,,,,,,,,,,-7000000.000,,,,0.000,,,,
PaymentsForProceedsFromOtherInvestingActivities,600000.000,,,,0.000,,,,,,,,,,,,,,,,,,,,
PaymentsOfDividends,93600000.000,,,,346500000.000,,,,149400000.000,,,,1025000000.000,,,,838800000.000,,,,1179300000.000,,,,1322600000.000
PaymentsToAcquireAvailableForSaleSecurities,5100000.000,,,,0.000,,,,9300000.000,,,,10100000.000,,,,10200000.000,,,,35900000.000,,,,0.000
PaymentsToAcquireEquityMethodInvestments,,,,,22800000.000,,,,0.000,,,,,,,,,,,,,,,,
PaymentsToAcquireInvestments,,,,,,,,,,,,,,,,,,,,,3000000.000,,,,300000.000
PaymentsToAcquireOtherInvestments,,,,,,,,,80000000.000,,,,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,41400000.000,,,,26700000.000,,,,20200000.000,,,,36500000.000,,,,31400000.000,,,,20200000.000,,,,20000000.000
ProceedsFromDivestitureOfBusinesses,,,,,,45900000.000,45900000.000,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfLongTermDebt,,,,,,,,,,,,,,,,,743700000.000,,,,0.000,,,,
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,5500000.000,,,,9100000.000,,,,8500000.000,,,,9300000.000,,,,10200000.000,,,,31800000.000,,,,500000.000
ProceedsFromPaymentsForOtherFinancingActivities,-100000.000,,,,0.000,,,,,,,,,,,,,,,,,,,,
ProceedsFromSaleOfAvailableForSaleSecuritiesEquity,,,,,,,,,,,,,,,,,,,,,,,,,244000000.000
ProceedsFromSaleOfBuildings,,,,,,,,,,,,,,,,,,,,,130000000.000,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,151500000.000,,,,,,,7900000.000,,,,0.000,,,,,,,,
ProceedsFromStockOptionsExercised,3200000.000,,,,7900000.000,,,,12800000.000,,,,4500000.000,,,,28600000.000,,,,6400000.000,,,,10500000.000
ProfessionalFees,30700000.000,30700000.000,29000000.000,35700000.000,32200000.000,40300000.000,26700000.000,27600000.000,21900000.000,27900000.000,35600000.000,44900000.000,29600000.000,37500000.000,32200000.000,29700000.000,29100000.000,27700000.000,33800000.000,32200000.000,31700000.000,39000000.000,33500000.000,40200000.000,28600000.000
ProfitLoss,457100000.000,295600000.000,315000000.000,746700000.000,266300000.000,253400000.000,218900000.000,168100000.000,237400000.000,311300000.000,236300000.000,193100000.000,266600000.000,263800000.000,290000000.000,306500000.000,330400000.000,265000000.000,359900000.000,291700000.000,367800000.000,320100000.000,472800000.000,373400000.000,399800000.000
ReclassificationFromAociCurrentPeriodTax,,,,,,,,,,,,,,,,,,,,,,,,,-87800000.000
RepaymentsOfLongTermDebt,,,,,,,,,,,,,750000000.000,,,,0.000,,,,,,,,
RepaymentsOfOtherDebt,420500000.000,,,,0.000,,,,,,,,,,,,,,,,,,,,
Revenues,831600000.000,838300000.000,874200000.000,736500000.000,774600000.000,795900000.000,683200000.000,660900000.000,718600000.000,816100000.000,714600000.000,687000000.000,777400000.000,731600000.000,762400000.000,841100000.000,842700000.000,820000000.000,850300000.000,813800000.000,934200000.000,906400000.000,841700000.000,912900000.000,929300000.000
SaleLeasebackTransactionGrossProceedsFinancingActivities,,,,,,,,,,,,,,,,,,,,,130000000.000,,,,0.000
