,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
GainOrLossOnSaleOfStockInSubsidiary,,,,,,,,,,,,,,,,,-2864000.000,,,,0.000,,,,
GoodwillAcquiredDuringPeriod,,,,,100000.000,,,,200000.000,,,,,,,,3588000.000,,,,43621000.000,,,,3377000.000
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,1738000.000,,,,753000.000
GoodwillPurchaseAccountingAdjustments,,,,,,,,,200000.000,,,,,,,,,,,,,,,,
GoodwillTranslationAdjustments,,,,,1300000.000,,,,-1200000.000,,,,-459000.000,,,,-3414000.000,,,,,,,,
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,,,,,,,,,,1400000.000,,,,,,,,,,,,,,,
GrossProfit,41174000.000,45840000.000,52629000.000,63481000.000,52684000.000,62427000.000,62774000.000,65224000.000,47059000.000,58568000.000,69411000.000,71983000.000,61063000.000,71918000.000,63939000.000,83063000.000,59190000.000,72053000.000,77121000.000,67423000.000,54414000.000,61190000.000,66318000.000,71242000.000,67412000.000
ImpairmentOfIntangibleAssetsFinitelived,,,,,,,,,,,,,,,10896000.000,,,,0.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3115000.000,8472000.000,-375000.000,20552000.000,8980000.000,14204000.000,23492000.000,21287000.000,2902000.000,20795000.000,16096000.000,19209000.000,5495000.000,16737000.000,-17457000.000,-40750000.000,3240000.000,12390000.000,21460000.000,-35875000.000,-8695000.000,4134000.000,17005000.000,22825000.000,9748000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3127000.000,7273000.000,1316000.000,15954000.000,,,,,,18396000.000,14623000.000,,4560000.000,12776000.000,-16101000.000,-32800000.000,1372000.000,8848000.000,15223000.000,-33433000.000,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,0.080,0.190,0.030,0.370,,,,,,0.470,0.370,,0.120,0.340,-0.450,-0.890,0.040,0.240,0.410,-0.910,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.080,0.190,0.030,0.370,,,,,,0.470,0.370,,0.120,0.330,-0.450,-0.880,0.040,0.240,0.400,-0.900,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,-4977000.000,-558000.000,,-132000.000,-364000.000,-130000.000,-3221000.000,0.000,0.000,0.000,0.000,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,,,-0.130,-0.010,,0.000,-0.010,0.000,-0.090,0.000,0.000,0.000,0.000,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,,,-0.130,-0.010,,0.000,-0.010,0.000,-0.090,0.000,0.000,0.000,0.000,,,,,
IncomeLossFromEquityMethodInvestments,853000.000,762000.000,916000.000,940000.000,652000.000,1735000.000,2001000.000,1971000.000,902000.000,1310000.000,1691000.000,1256000.000,677000.000,0.000,0.000,-107000.000,0.000,0.000,0.000,0.000,,,,,
IncomeTaxExpenseBenefit,841000.000,1961000.000,-775000.000,5538000.000,2483000.000,4001000.000,4758000.000,6231000.000,466000.000,3709000.000,3164000.000,4815000.000,1612000.000,3961000.000,-1356000.000,-8057000.000,1868000.000,3542000.000,6237000.000,-2442000.000,-4746000.000,941000.000,5218000.000,4696000.000,1995000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-22741000.000,,,,-13308000.000,,,,-26379000.000,,,,-17652000.000,,,,-7250000.000,,,,-39086000.000,,,,-9988000.000
IncreaseDecreaseInBillingInExcessOfCostOfEarnings,,,,,,,,,,,,,,,,,,,,,-3672000.000,,,,-18078000.000
IncreaseDecreaseInInventories,-881000.000,,,,-126000.000,,,,638000.000,,,,340000.000,,,,3455000.000,,,,1806000.000,,,,3491000.000
IncreaseDecreaseInOtherOperatingCapitalNet,,,,,-319000.000,,,,-1381000.000,,,,781000.000,,,,-981000.000,,,,-582000.000,,,,-300000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1292000.000,,,,-2353000.000,,,,1544000.000,,,,-829000.000,,,,-2379000.000,,,,-3382000.000,,,,-5351000.000
IncreaseDecreaseInReceivables,5183000.000,,,,-11371000.000,,,,-16416000.000,,,,9005000.000,,,,17442000.000,,,,-29618000.000,,,,30257000.000
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,,,,,,,,,,,1086000.000,,,,-2000000.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,521000.000,,,,677000.000,,,,73000.000,,,,130000.000,,,,1093000.000,,,,-462000.000,,,,-1354000.000
InterestExpense,1993000.000,1666000.000,9168000.000,2248000.000,2400000.000,2778000.000,2523000.000,2507000.000,2365000.000,2243000.000,5454000.000,3107000.000,3115000.000,3320000.000,3258000.000,3250000.000,3232000.000,2989000.000,3144000.000,6679000.000,3615000.000,3641000.000,3825000.000,3948000.000,4047000.000
InvestmentIncomeInterest,85000.000,51000.000,63000.000,148000.000,68000.000,77000.000,86000.000,275000.000,72000.000,46000.000,40000.000,167000.000,252000.000,125000.000,102000.000,154000.000,126000.000,78000.000,25000.000,-11000.000,32000.000,128000.000,37000.000,-31000.000,49000.000
LineOfCreditFacilityIncreaseAdditionalBorrowings,,,,,26000000.000,,,,,,,,,,,,,,,,,,,,
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,-776000.000,,,,,,,,,,,,,,,,,,,,,,,,
MinorityInterestDecreaseFromRedemptions,,,,,,,,,,,,,-617000.000,,,,,,,,7278000.000,,,,
MinorityInterestIncreaseFromStockIssuance,141000.000,,,,3920000.000,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-583000.000,,,,18654000.000,,,,-8835000.000,,,,-9344000.000,,,,-11749000.000,,,,13338000.000,,,,-5383000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-583000.000,,,,18654000.000,,,,-8835000.000,,,,-9344000.000,,,,-11749000.000,,,,13338000.000,,,,-5383000.000
NetCashProvidedByUsedInInvestingActivities,-3837000.000,,,,-11484000.000,,,,-4490000.000,,,,3148000.000,,,,-11521000.000,,,,-91799000.000,,,,-11076000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-3837000.000,,,,-11484000.000,,,,-4490000.000,,,,3148000.000,,,,-11521000.000,,,,-91799000.000,,,,-11076000.000
NetCashProvidedByUsedInOperatingActivities,-4810000.000,,,,19183000.000,,,,3591000.000,,,,-8929000.000,,,,-12201000.000,,,,-1982000.000,,,,-26333000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-4810000.000,,,,19183000.000,,,,3591000.000,,,,-8929000.000,,,,-12201000.000,,,,-1982000.000,,,,-26333000.000
NetIncomeLoss,3006000.000,7629000.000,1160000.000,14752000.000,6724000.000,11498000.000,19544000.000,14895000.000,2712000.000,13213000.000,13938000.000,14488000.000,4397000.000,12386000.000,-17054000.000,-36896000.000,1359000.000,8684000.000,14750000.000,-32860000.000,-3792000.000,3422000.000,12067000.000,17791000.000,5871000.000
NetIncomeLossAttributableToNoncontrollingInterest,121000.000,-356000.000,156000.000,1202000.000,425000.000,440000.000,1191000.000,2132000.000,626000.000,206000.000,127000.000,236000.000,31000.000,26000.000,823000.000,875000.000,13000.000,164000.000,473000.000,-573000.000,-157000.000,-229000.000,-280000.000,338000.000,1882000.000
NonoperatingIncomeExpense,-2374000.000,632000.000,-9873000.000,-1158000.000,-1919000.000,-4159000.000,-2650000.000,-2431000.000,-2379000.000,4972000.000,-5936000.000,-4537000.000,-3639000.000,-3882000.000,-3523000.000,-5119000.000,-5885000.000,-2133000.000,-3478000.000,-7235000.000,-4556000.000,-4011000.000,-3500000.000,-3490000.000,-4385000.000
NumberOfReportableSegments,,,,,5.000,,,,4.000,,,,,,,,,,,,,,,,
OperatingExpenses,35685000.000,37674000.000,37242000.000,41163000.000,41210000.000,42652000.000,42917000.000,44103000.000,41778000.000,40837000.000,47956000.000,47912000.000,51929000.000,50760000.000,66977000.000,64439000.000,49084000.000,57326000.000,51554000.000,51513000.000,50725000.000,50806000.000,45277000.000,50291000.000,52746000.000
OperatingIncomeLoss,5489000.000,7840000.000,9498000.000,21710000.000,10899000.000,18363000.000,26142000.000,23718000.000,5281000.000,15823000.000,22032000.000,23746000.000,9134000.000,20619000.000,-13934000.000,-35631000.000,9125000.000,14523000.000,24938000.000,-28640000.000,-4139000.000,8145000.000,20505000.000,26315000.000,14133000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,,,,78000.000,73000.000,-484000.000,78000.000,110000.000,78000.000,453000.000,-345000.000,409000.000,-25000.000,-274000.000,169000.000,-3573000.000,-486000.000,895000.000,3910000.000,483000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,3302000.000,-3714000.000,4614000.000,5509000.000,-9670000.000,-686000.000,-1093000.000,-1979000.000,-2644000.000,1864000.000,-16693000.000,-10118000.000,-16096000.000,-2379000.000,-2963000.000,-3941000.000,-557000.000,-399000.000,3885000.000,-9272000.000,3869000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,3302000.000,,,,-9592000.000,,,,-2534000.000,,,,-15666000.000,,,,-4252000.000,,,,4347000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,2704000.000,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,,,,,,,,,,,,,25000.000,-16000.000,,122000.000,52000.000,-90000.000,,5000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,,,,,,,,,,,,,,,,,,6000.000,4000.000,,-30000.000,13000.000,-23000.000,42000.000,1000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansNetOfTax,,,,,,,,,,8000.000,8000.000,,,5000.000,-8000.000,,21000.000,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansTax,,,,,,,,,,,,,,,,,5000.000,,,,,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,,,,,,,,,52000.000,,345000.000,,73000.000,51000.000,51000.000,21000.000,271000.000,-14000.000,-183000.000,113000.000,-2392000.000,-325000.000,617000.000,2596000.000,321000.000
OtherNoncashIncomeExpense,-1721000.000,,,,-1172000.000,,,,-649000.000,,,,-631000.000,,,,394000.000,,,,485000.000,,,,62000.000
OtherNonoperatingIncomeExpense,-466000.000,2247000.000,-768000.000,942000.000,413000.000,-1458000.000,-213000.000,-199000.000,-86000.000,7169000.000,-522000.000,-1597000.000,-776000.000,-687000.000,-367000.000,-2023000.000,-2779000.000,778000.000,-359000.000,-545000.000,-973000.000,-498000.000,288000.000,489000.000,-387000.000
PaymentsForPreviousAcquisition,,,,,532000.000,,,,,,,,,,,,,,,,,,,,
PaymentsForRepurchaseOfCommonStock,,,,,6037000.000,,,,4582000.000,,,,5475000.000,,,,7622000.000,,,,16325000.000,,,,10508000.000
PaymentsOfDebtRestructuringCosts,122000.000,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsOfDividendsMinorityInterest,776000.000,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireBusinessThreeNetOfCashAcquired,,,,,,,,,,,,,,,,,,,,,0.000,,,,
PaymentsToAcquireBusinessTwoNetOfCashAcquired,,,,,,,,,,,,,,,,,1098000.000,,,,500000.000,,,,9045000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,3048000.000,,,,,,,,,,,,6479000.000,,,,85167000.000,,,,0.000
PaymentsToAcquireIntangibleAssets,286000.000,,,,219000.000,,,,211000.000,,,,677000.000,,,,7000.000,,,,541000.000,,,,289000.000
PaymentsToAcquirePropertyPlantAndEquipment,3692000.000,,,,11447000.000,,,,4988000.000,,,,5620000.000,,,,4234000.000,,,,10060000.000,,,,3907000.000
PaymentsToFundLongtermLoansToRelatedParties,,,,,2000000.000,,,,,,,,,,,,,,,,,,,,
PaymentsToMinorityShareholders,,,,,,,,,,,,,617000.000,,,,0.000,,,,,,,,
ProceedsFromDivestitureOfInterestInJointVenture,,,,,,,,,,,,,9065000.000,,,,0.000,,,,4599000.000,,,,0.000
ProceedsFromIssuanceOfCommonStock,2639000.000,,,,671000.000,,,,638000.000,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfLongTermDebt,,,,,983000.000,,,,,,,,,,,,,,,,,,,,
ProceedsFromLinesOfCredit,,,,,26000000.000,,,,,,,,,,,,26000000.000,,,,34000000.000,,,,10000000.000
ProceedsFromMinorityShareholders,141000.000,,,,3920000.000,,,,,,,,,,,,,,,,,,,,
ProceedsFromNotesPayable,35000.000,,,,,,,,1359000.000,,,,0.000,,,,1505000.000,,,,0.000,,,,
ProceedsFromPreviousAcquisition,,,,,1048000.000,,,,,,,,,,,,,,,,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,141000.000,,,,2714000.000,,,,709000.000,,,,380000.000,,,,297000.000,,,,956000.000,,,,165000.000
ProceedsFromStockOptionsExercised,,,,,200000.000,,,,207000000.000,,,,1633000.000,,,,1299000.000,,,,306000.000,,,,0.000
ProfitLoss,3127000.000,7273000.000,1316000.000,15954000.000,7149000.000,11938000.000,20735000.000,17027000.000,3338000.000,13419000.000,14065000.000,14724000.000,4428000.000,12412000.000,-16231000.000,-36021000.000,1372000.000,8848000.000,15223000.000,-33433000.000,-3949000.000,3193000.000,11787000.000,18129000.000,7753000.000
RepaymentsOfLongTermDebt,2500000.000,,,,6250000.000,,,,6250000.000,,,,4539000.000,,,,33031000.000,,,,4375000.000,,,,4375000.000
RepaymentsOfNotesPayable,,,,,633000.000,,,,,,,,,,,,,,,,,,,,
RestructuringCharges,,,2151000.000,,,,,,,,,,,,,,658000.000,204000.000,172000.000,-66000.000,6797000.000,1535000.000,212000.000,624000.000,0.000
RestructuringCostsAndAssetImpairmentCharges,,,,,,,,,,,,,,,39953000.000,,,,,,,,,,
RestructuringReserveSettledWithoutCash1,,,,,,,,,,,,,,,17187000.000,,,,,,,,,,
Revenues,210587000.000,224985000.000,246218000.000,256795000.000,230594000.000,257531000.000,265155000.000,274683000.000,231652000.000,242100000.000,307665000.000,310003000.000,306234000.000,322868000.000,350138000.000,352181000.000,309166000.000,337096000.000,356595000.000,330713000.000,293908000.000,297686000.000,308524000.000,321802000.000,325175000.000
SalesRevenueNet,210587000.000,224985000.000,246218000.000,256795000.000,230594000.000,257531000.000,265155000.000,274683000.000,231652000.000,242100000.000,307665000.000,310003000.000,306234000.000,322868000.000,350138000.000,352181000.000,309166000.000,337096000.000,356595000.000,330713000.000,293908000.000,297686000.000,308524000.000,321802000.000,325175000.000
ShareBasedCompensation,1827000.000,,,,1541000.000,,,,1835000.000,,,,1284000.000,,,,1663000.000,,,,2363000.000,,,,3096000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,,,0.000,,,,0.000,,,,0.000,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,,0.452,,,,0.498,,,,0.416,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,,0.015,,,,0.011,,,,0.023,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,,,,,0.452,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,,,,100000.000,,,,52000000.000,,,,444000.000,,,,273000.000,,,,352000.000,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,,,,65008.000,,,,3150.000,,,,27664.000,,,,0.000,,,,0.000,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,,,,,23.530,,,,19.410,,,,25.600,,,,0.000,,,,0.000,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,,,,,267880.000,,,,29025.000,,,,38820.000,,,,0.000,,,,0.000,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,8.190,,,,12.920,,,,11.270,,,,,,,,,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,13.330,,,,20.140,,,,15.720,,,,12.970,,,,16.800,,,,0.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,18.110,,,,25.110,,,,24.210,,,,0.000,,,,0.000,,,,0.000
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,11623.000,,,,29511.000,,,,75657.000,,,,100191.000,,,,18193.000,,,,0.000
StockIssuedDuringPeriodValueNewIssues,2640000.000,,,,671000.000,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueRestrictedStockAwardForfeitures,,,,,,,,,,,,,0.000,,,,,,,,0.000,,,,
StockIssuedDuringPeriodValueRestrictedStockAwardGross,2000.000,,,,,,,,,,,,,,,,,,,,,,,,1000.000
StockIssuedDuringPeriodValueStockOptionsExercised,,,,,,,,,634000.000,,,,1092000.000,,,,1114000.000,,,,38000.000,,,,
StockRepurchasedAndRetiredDuringPeriodValue,,,,,,,,,4582000.000,,,,-5475000.000,,,,7622000.000,,,,16325000.000,,,,10508000.000
StockRepurchasedDuringPeriodValue,,,,,6037000.000,,,,,,,,,,,,,,,,,,,,
TangibleAssetImpairmentCharges,,,,,,,,,,,,,,,11870000.000,,,,,,,,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,,,,,,,,,,,,,,,,,,1900000.000,,,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,388387.000,287047.000,,301484.000,292805.000,319745.000,-600380.000,408226.000,358390.000,398932.000,-775864.000,378476.000,357028.000,0.000,-735504.000,231720.000,314797.000,336636.000,-883153.000,0.000,479860.000,518411.000,-501778.000,685257.000
WeightedAverageNumberOfDilutedSharesOutstanding,,39732077.000,39711383.000,,39498118.000,39570454.000,39605229.000,-79137410.000,39286434.000,39318829.000,39071373.000,-78594294.000,38342796.000,38250198.000,37406061.000,-76347563.000,37541549.000,36783171.000,36581829.000,-74352112.000,35488580.000,35466765.000,34980990.000,-70725905.000,34504588.000
WeightedAverageNumberOfSharesOutstandingBasic,,39343690.000,39424336.000,,39196634.000,39277649.000,39285484.000,-78537030.000,38878208.000,38960439.000,38672441.000,-77818430.000,37964320.000,37893170.000,37406061.000,-75612059.000,37309829.000,36468374.000,36245193.000,-73468959.000,35488580.000,34986905.000,34462579.000,-70224127.000,33819331.000
