,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
EarningsPerShareBasic,-0.080,0.080,-0.040,-0.100,0.020,-0.140,-0.300,-0.280,-0.160,-0.150,-0.010,-0.040,-0.530,-0.860,-0.820,-0.560,-1.010,-1.190,-7.880,-6.150,-1.070,-0.590,-1.130,-1.260,-1.140,-0.440
EarningsPerShareDiluted,-0.080,0.080,-0.040,-0.100,0.020,-0.140,-0.300,-0.280,-0.160,-0.150,-0.010,-0.040,-0.530,-0.860,-0.820,-0.560,-1.010,-1.190,-7.880,-6.150,-1.070,-0.590,-1.130,-1.260,-1.140,-0.440
EffectOfExchangeRateOnCashAndCashEquivalents,1646000.000,,,,1042000.000,,,,-3727000.000,,,,-400000.000,,,,-3400000.000,,,,1800000.000,,,,2500000.000,
EffectiveIncomeTaxRateContinuingOperations,,0.441,1.146,,0.728,-0.353,-0.233,-0.447,-0.406,-0.376,1.095,0.508,-0.213,-0.070,-0.084,0.893,0.419,0.390,0.106,-0.738,0.172,0.275,0.166,-0.352,-0.199,-0.195
EquityMethodInvestmentDividendsOrDistributions,,,,,0.000,,,,2239000.000,,,,18200000.000,,,,1600000.000,,,,0.000,,,,3700000.000,
EquityMethodInvestmentRealizedGainLossOnDisposal,,,,,,,,,,,,,14500000.000,0.000,0.000,,0.000,0.000,0.000,,,,,,,
ExtinguishmentOfDebtAmount,,,,,,,,,,,,,,,,,,,,,,,,,,0.000
GainLossOnForeignCurrencyFairValueHedgeDerivatives,,,,,,2040000.000,-489000.000,,725000.000,-325000.000,,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,-4185000.000,,,,-15464000.000,,,,0.000,,,-25900000.000,0.000,,,0.000,0.000,,,25200000.000,0.000,,-29700000.000,0.000
GoodwillAndIntangibleAssetImpairment,,,,,,,,,,,,,,,,,,,535000000.000,,,,,,,
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,-1700000.000,,,,17700000.000,
GoodwillImpairmentLoss,,,,,,,,,,,,,,,,,,,535000000.000,,,,0.000,,,
GoodwillPurchaseAccountingAdjustments,,,,,2000000.000,,,,,,,,,,,,,,,,,,,,,
GoodwillTranslationAdjustments,,,,,11249000.000,,,,-18566000.000,,,,3500000.000,,,,-77300000.000,,,,,,,,,
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,,,,,,,,,,,,,,,,103600000.000,,,,,,,
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,,,,,,,,,,,,,,,,,,,,,5700000.000,,,
IncomeLossFromContinuingOperations,,,,,,,,,-12287000.000,-12383000.000,-366000.000,-564000.000,-45000000.000,-72400000.000,-69800000.000,-47100000.000,-86400000.000,-102200000.000,-678200000.000,-527500000.000,-92300000.000,-51700000.000,-98900000.000,-110800000.000,-100800000.000,-39100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-1922000.000,,6686000.000,-9305000.000,-22008000.000,-23379000.000,-8741000.000,-8998000.000,3866000.000,-129427000.000,-37100000.000,-67700000.000,-64400000.000,-325700000.000,-148700000.000,-167500000.000,-759500000.000,-618500000.000,-111500000.000,-71300000.000,-118600000.000,-177300000.000,-84100000.000,-32700000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,-0.150,-0.140,-0.010,0.000,-0.530,-0.860,-0.820,-0.560,,,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,-0.150,-0.140,-0.010,0.000,-0.530,-0.860,-0.820,-0.560,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,,-866000.000,-592000.000,-85000.000,-3057000.000,0.000,0.000,0.000,0.000,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,,-0.010,-0.010,0.000,-0.040,0.000,0.000,0.000,0.000,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,,-0.010,-0.010,0.000,-0.040,0.000,0.000,0.000,0.000,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,9350000.000,9224000.000,8895000.000,1922000.000,8845000.000,6915000.000,5702000.000,6611000.000,6136000.000,3495000.000,3381000.000,-11512000.000,5500000.000,700000.000,-14000000.000,200000.000,3100000.000,3300000.000,3000000.000,7500000.000,3200000.000,8000000.000,7300000.000,-5500000.000,9500000.000,3100000.000
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,7505000.000,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,5174000.000,5536000.000,2202000.000,3071000.000,4867000.000,3284000.000,5125000.000,1345000.000,3546000.000,3385000.000,4232000.000,-128863000.000,7900000.000,4700000.000,5400000.000,-278600000.000,-62300000.000,-65300000.000,-81300000.000,-91000000.000,-19200000.000,-19600000.000,-19700000.000,-66500000.000,16700000.000,6400000.000
IncomeTaxesPaidNet,,,,,,,,,,,,,600000.000,,,,-7700000.000,,,,2700000.000,,,,5700000.000,
IncreaseDecreaseInAccountsPayable,-6047000.000,,,,-11428000.000,,,,-12646000.000,,,,-25300000.000,,,,-17300000.000,,,,400000.000,,,,,
IncreaseDecreaseInAccountsReceivable,-20930000.000,,,,-7240000.000,,,,-24690000.000,,,,-51300000.000,,,,-34700000.000,,,,-23600000.000,,,,,
IncreaseDecreaseInAccruedLiabilities,12175000.000,,,,-5968000.000,,,,-17926000.000,,,,19300000.000,,,,5500000.000,,,,1300000.000,,,,,
IncreaseDecreaseInDeferredIncomeTaxes,,,,,,,,,,,,,-1200000.000,,,,67100000.000,,,,18300000.000,,,,,
IncreaseDecreaseInInventories,-1536000.000,,,,-919000.000,,,,-772000.000,,,,25600000.000,,,,-9500000.000,,,,10600000.000,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,2858000.000,,,,706000.000,,,,-1566000.000,,,,-7100000.000,,,,-1300000.000,,,,-3900000.000,,,,,
IncreaseDecreaseInRestrictedCashAndInvestments,,,,,,,,,-965000.000,,,,900000.000,,,,-200000.000,,,,600000.000,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,496000.000,,,1740000.000,0.000,0.000,,0.000,,,,,,,,,,,,,,,,,
InterestExpense,26455000.000,26409000.000,26297000.000,25542000.000,24898000.000,24185000.000,25990000.000,24935000.000,25008000.000,25138000.000,25125000.000,44229000.000,47900000.000,49300000.000,45700000.000,164300000.000,164300000.000,166400000.000,166800000.000,167400000.000,165700000.000,165300000.000,165400000.000,165000000.000,,
InterestIncomeExpenseNet,,,,,,,,,,,,,,,,,,,,,,,,,-159400000.000,-151200000.000
InterestPaid,,,,,,,,,,,,,39200000.000,,,,96600000.000,,,,122300000.000,,,,113500000.000,
NetCashProvidedByUsedInContinuingOperations,,,,,-3999000.000,,,,-18996000.000,,,,15400000.000,,,,-20600000.000,,,,17000000.000,,,,,
NetCashProvidedByUsedInFinancingActivities,-6265000.000,,,,-7163000.000,,,,-3593000.000,,,,-56500000.000,,,,-26700000.000,,,,-37100000.000,,,,-15100000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-6265000.000,,,,-7163000.000,,,,-3593000.000,,,,-56500000.000,,,,-26700000.000,,,,-37100000.000,,,,-15100000.000,
NetCashProvidedByUsedInInvestingActivities,-49681000.000,,,,-19802000.000,,,,-34911000.000,,,,-11000000.000,,,,-68300000.000,,,,-48800000.000,,,,-79500000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-49681000.000,,,,-19802000.000,,,,-34911000.000,,,,-11000000.000,,,,-68300000.000,,,,-48800000.000,,,,-79500000.000,
NetCashProvidedByUsedInOperatingActivities,48610000.000,,,,21924000.000,,,,23235000.000,,,,83300000.000,,,,77800000.000,,,,101100000.000,,,,111000000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,48610000.000,,,,21924000.000,,,,23235000.000,,,,83300000.000,,,,77800000.000,,,,101100000.000,,,,111000000.000,
NetIncomeLoss,-6932000.000,7019000.000,,,,,,,,,,,-45000000.000,-72400000.000,-69800000.000,-47100000.000,-86400000.000,,,,-92300000.000,,,,,
NetIncomeLossAvailableToCommonStockholdersBasic,,,-4124000.000,,1819000.000,-12589000.000,-27133000.000,-24724000.000,-13153000.000,-12975000.000,-451000.000,,-45000000.000,-72400000.000,-69800000.000,,,,,,,,,,,
NoncashContributionExpense,,,,,,,,,,,,,,,,,9600000.000,,,,86900000.000,,,,,
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,,,,,,,,,,,,,,,,,,,,,,,,,28100000.000,
OperatingIncomeLoss,14353000.000,28864000.000,21376000.000,19228000.000,22261000.000,9073000.000,13207000.000,-6333000.000,11129000.000,12452000.000,25655000.000,-67536000.000,-12100000.000,3600000.000,-7800000.000,-156400000.000,18100000.000,-100000.000,-588200000.000,-454400000.000,50300000.000,59100000.000,33500000.000,-12300000.000,88000000.000,117300000.000
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,,,,,-371000.000,229000.000,3922000.000,-4889000.000,514000.000,266000.000,-463000.000,4983000.000,100000.000,-200000.000,400000.000,-9000000.000,900000.000,-700000.000,800000.000,6000000.000,200000.000,300000.000,200000.000,-10400000.000,-300000.000,-400000.000
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesTaxEffectPeriodIncreaseDecrease,,308000.000,337000.000,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,,26016000.000,-29811000.000,23419000.000,10939000.000,-39355000.000,570000.000,42289000.000,14696000.000,100000.000,10000000.000,-57800000.000,-49700000.000,-106300000.000,17800000.000,-47900000.000,200000.000,-1600000.000,-35100000.000,1900000.000,-69900000.000,33600000.000,32100000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,13342000.000,-52397000.000,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,13804000.000,-51892000.000,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,25422000.000,-27859000.000,27020000.000,5257000.000,-38111000.000,803000.000,39257000.000,19351000.000,-500000.000,4200000.000,-55100000.000,-61300000.000,-110300000.000,23100000.000,-49000000.000,8400000.000,-2400000.000,-30200000.000,5200000.000,-84000000.000,36100000.000,31700000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,462000.000,505000.000,,-343000.000,-317000.000,168000.000,-26000.000,5000.000,292000.000,,,-700000.000,-5600000.000,2300000.000,-2600000.000,-4900000.000,6000000.000,-1900000.000,2200000.000,-1000000.000,4600000.000,3100000.000,-3700000.000,2800000.000,0.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,,,,,,,-2569000.000,,,,,,,,,,,,,,,
OtherNoncashIncomeExpense,,,,,-345000.000,,,,-2103000.000,,,,1500000.000,,,,-300000.000,,,,800000.000,,,,,
OtherNonoperatingIncomeExpense,994000.000,876000.000,-1711000.000,-1070000.000,478000.000,-1108000.000,537000.000,1278000.000,-998000.000,193000.000,-45000.000,-250000.000,2900000.000,3200000.000,3100000.000,-5200000.000,-5600000.000,-4300000.000,-7500000.000,-4200000.000,700000.000,1700000.000,6000000.000,5500000.000,7500000.000,-1900000.000
PaidInKindInterest,1956000.000,,,,1996000.000,,,,1705000.000,,,,4300000.000,,,,9500000.000,,,,10000000.000,,,,,
PaymentOfFinancingAndStockIssuanceCosts,,,,,,,,,,,,,,,,,,,,,,,,,27200000.000,
PaymentsForProceedsFromOtherInvestingActivities,960000.000,,,,152000.000,,,,195000.000,,,,0.000,,,,0.000,,,,,,,,-2000000.000,
PaymentsForRepurchaseOfCommonStock,,,,,,,,,,,,,29500000.000,,,,0.000,,,,,,,,,
PaymentsForRestructuring,,,,,,,,,,,,,5900000.000,,,,9000000.000,,,,4300000.000,,3400000.000,,,
PaymentsOfDebtExtinguishmentCosts,,,,,,,,,,,,,,,,,,,,,,,,,3900000.000,0.000
PaymentsOfFinancingCosts,2623000.000,,,,57000.000,,,,24000.000,,,,,,,,,,,,,,,,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,,,,,,,,,,,700000.000,,,,0.000,,,,600000.000,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,344000.000,,,,287000.000,,,,0.000,,,,,,,,,,,,21500000.000,
PaymentsToAcquireOtherProductiveAssets,1658000.000,,,,1958000.000,,,,7346000.000,,,,12200000.000,,,,4200000.000,,,,4000000.000,,,,61300000.000,
PaymentsToAcquireProductiveAssets,,,,,9351000.000,,,,36280000.000,,,,,,,,72100000.000,,,,51200000.000,,,,61300000.000,
PaymentsToAcquirePropertyPlantAndEquipment,8788000.000,,,,7393000.000,,,,16856000.000,,,,24700000.000,,,,48300000.000,,,,30300000.000,,,,,
PriorPeriodReclassificationAdjustment,,,,,,,,,,,,,1900000.000,,,,,,,,,,,,,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,,,,,,,,,,,,,-17700000.000,,,,0.000,,,,,,,,,
ProceedsFromIssuanceOfOtherLongTermDebt,,,,,,,,,963000.000,,,,300000.000,,,,0.000,,,,,,,,,
ProceedsFromIssuanceOfSeniorLongTermDebt,,,,,,,,,,,,,,,,,,,,,,,,,1762400000.000,
ProceedsFromLinesOfCredit,,,,,,,,,,,,,,,,,15000000.000,,,,95000000.000,,,,125000000.000,
ProceedsFromRepaymentsOfDebt,,,,,-3551000.000,,,,-624000.000,,,,-6000000.000,,,,-17000000.000,,,,-27500000.000,,,,22500000.000,
ProceedsFromSaleOfEquityMethodInvestments,,,,,,,,,,,,,44900000.000,,,,0.000,,,,,,,,,
ProceedsFromSaleOfProductiveAssets,780000.000,,,,84000.000,,,,886000.000,,,,0.000,,,,,,,,,,,,,
ProceedsFromStockPlans,-1521000.000,,,,-3555000.000,,,,-2945000.000,,,,-19200000.000,,,,,,,,,,,,,
ProvisionForDoubtfulAccounts,,,,,,,,,13000.000,,,,,,,,,,,,,,,,,
RepaymentsOfLinesOfCredit,,,,,,,,,,,,,,,,,20000000.000,,,,110000000.000,,,,170000000.000,
RepaymentsOfLongTermDebt,2121000.000,,,,3551000.000,,,,1587000.000,,,,6300000.000,,,,12000000.000,,,,12500000.000,,,,,
RepaymentsOfSeniorDebt,,,,,,,,,,,,,,,,,,,,,,,,,1693400000.000,
ResearchAndDevelopmentExpense,,,,,,,,,,,,,25900000.000,24800000.000,26300000.000,40000000.000,46900000.000,48000000.000,45900000.000,43100000.000,49800000.000,51700000.000,53900000.000,49400000.000,42400000.000,48100000.000
RestructuringAndRelatedCostCostIncurredToDate,,,,,,,,,,,,,28300000.000,,,,,,,,,,,,,
RestructuringAndRelatedCostExpectedCost,,,,,,,,,,,,,29900000.000,,,,,,,,,,,,,
RestructuringCharges,,,,,,,,,,,,,5600000.000,4900000.000,1900000.000,18300000.000,8200000.000,5200000.000,5600000.000,2900000.000,2700000.000,4200000.000,13800000.000,36300000.000,9200000.000,1100000.000
RestructuringReservePeriodExpense,,,,,2875000.000,6046000.000,1830000.000,751000.000,,,,,,,,,,,,,,,,,,
RestructuringReserveSettledWithCash,,,,,-1901000.000,-2287000.000,-276000.000,12491000.000,,,,,,,,,,,,,,,,,,
RestructuringReserveSettledWithoutCash1,,,,,,,,,,,,,300000.000,,,,800000.000,,,,,,,,,
Revenues,196656000.000,220248000.000,222739000.000,239079000.000,234575000.000,229307000.000,227477000.000,249243000.000,219588000.000,235044000.000,234407000.000,401861000.000,388100000.000,416900000.000,415600000.000,565800000.000,658700000.000,691500000.000,671600000.000,737000000.000,682000000.000,729200000.000,720000000.000,752200000.000,725400000.000,766300000.000
SalesRevenueGoodsNet,9049000.000,7733000.000,14617000.000,22347000.000,20965000.000,21045000.000,20421000.000,32212000.000,15008000.000,23330000.000,23950000.000,97612000.000,85100000.000,102200000.000,102000000.000,175600000.000,199400000.000,218100000.000,193500000.000,252000000.000,197600000.000,214800000.000,225900000.000,257900000.000,222700000.000,231100000.000
SalesRevenueNet,196656000.000,220248000.000,222739000.000,239079000.000,234575000.000,229307000.000,227477000.000,249243000.000,219588000.000,235044000.000,234407000.000,401861000.000,388100000.000,416900000.000,415600000.000,565800000.000,658700000.000,691500000.000,671600000.000,737000000.000,682000000.000,729200000.000,720000000.000,752200000.000,725400000.000,766300000.000
SalesRevenueServicesNet,73747000.000,82096000.000,81429000.000,94429000.000,90286000.000,88635000.000,82622000.000,90774000.000,81767000.000,85176000.000,80810000.000,167247000.000,176800000.000,179300000.000,182800000.000,249600000.000,330400000.000,337900000.000,340500000.000,343000000.000,350300000.000,363500000.000,356400000.000,353800000.000,362500000.000,385800000.000
SellingGeneralAndAdministrativeExpense,39554000.000,43426000.000,47660000.000,52382000.000,46172000.000,47171000.000,44383000.000,51087000.000,50641000.000,46154000.000,46994000.000,122611000.000,91800000.000,95200000.000,95600000.000,225100000.000,145900000.000,140900000.000,136800000.000,144100000.000,142300000.000,144900000.000,152800000.000,137000000.000,140700000.000,145900000.000
SeveranceCosts,,,1030000.000,,2875000.000,6046000.000,1830000.000,751000.000,331000.000,,,,,,,,,,,,,,,,,
SeveranceCosts1,,,,,,,,,,0.000,0.000,,,,,,,,,,,,,,,
ShareBasedCompensation,4602000.000,,,,5771000.000,,,,5862000.000,,,,5200000.000,,,,5100000.000,,,,6500000.000,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,,,,,,,,,,,,,,,,,,1200000.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,,,3.800,,,,,,,,,,,,,,,4.810,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardPlanModificationIncrementalCompensationCost,,,,,,,,,280.000,185000.000,210000.000,,,,,,,,,,,,,,,
StockIssuedDuringPeriodSharesShareBasedCompensation,,,,,323000.000,,,,818000.000,,,,1000000.000,,,,700000.000,,,,,,,,,
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount,,,,,,,,,,,,,75000000.000,,,,,,,,,,,,,
StockRepurchasedDuringPeriodShares,,,,,,,,,,,,,2000000.000,,,,,,,,,,,,,
StockRepurchasedDuringPeriodValue,,,,,,,,,,,,,29500000.000,,,,,,,,,,,,,
TreasuryStockSharesAcquired,,,,,,,,,226000.000,,,,2000000.000,,,,0.000,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,91886000.000,92565000.000,92125000.000,-184508000.000,94224000.000,92767000.000,89950000.000,-186930000.000,84607000.000,85016000.000,85128000.000,-169751000.000,84300000.000,84400000.000,84700000.000,-168800000.000,85300000.000,85900000.000,86100000.000,-171400000.000,86600000.000,87300000.000,87500000.000,-174100000.000,88200000.000,89100000.000
WeightedAverageNumberOfSharesOutstandingBasic,,,92125000.000,,92484000.000,92767000.000,89950000.000,-185190000.000,84607000.000,85016000.000,85128000.000,-169751000.000,84300000.000,84400000.000,84700000.000,-168800000.000,85300000.000,85900000.000,86100000.000,-171400000.000,86600000.000,87300000.000,87500000.000,-174100000.000,88200000.000,89100000.000
