,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
DebtInstrumentConvertibleEffectiveInterestRate,0.028,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,,,,,,,,,,47900000.000,93100000.000,,122900000.000
DepreciationAndAmortization,63500000.000,,,,73000000.000,,,,75000000.000,,,,96500000.000,,,,120600000.000,,,,168900000.000,,,,486900000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,,-800000.000,,,,,,,,,,,,,,,,,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,-1200000.000,,,,,,,,,,,,,,,,,,,,2000000.000,,,,
EarningsPerShareBasic,0.385,0.372,0.350,0.462,0.431,0.427,0.409,0.075,0.117,0.469,0.507,0.112,0.394,0.892,0.817,3.702,0.697,0.270,0.766,0.474,0.710,-0.240,-0.430,0.390,0.410
EarningsPerShareDiluted,0.370,0.359,0.339,0.441,0.414,0.413,0.396,0.086,0.117,0.453,0.488,0.117,0.391,0.886,0.809,3.674,0.693,0.269,0.763,0.472,0.710,-0.240,-0.430,0.380,0.410
EffectOfExchangeRateOnCashAndCashEquivalents,2400000.000,,,,1200000.000,,,,2300000.000,,,,-1700000.000,,,,-1600000.000,,,,1000000.000,,,,2700000.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,,,,-0.510,0.110,,,-0.370,,,0.170,-4.270,0.380,3.461,0.020
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,,0.460,,,,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,,,,,,,,,,,,,,,,41500000.000,26900000.000,,13100000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,9000000.000,,,,34800000.000,,,,4400000.000,,,,20500000.000,,,,19900000.000,,,,3200000.000,,,,
FairValueInputsDiscountRate,,,,,,,,,0.151,,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3,,,,,,,,,5800000.000,,,,2400000.000,,,,2100000.000,,,,2000000.000,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings,-1300000.000,,,,,,,,,,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,,,,,,,,,-5400000.000,,,,7100000.000,,,,-5200000.000,,,,-4200000.000,,,,2300000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncome,3400000.000,,,,,,,,,,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,,,,,,,,,1000000.000,,,,-800000.000,,,,200000.000,,,,-300000.000,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,,,,,,,,,5000000.000,,,,4000000.000,,,,5900000.000,,,,3000000.000,,,,1400000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,,,,,,,1800000.000,,,,-59200000.000,,,,2400000.000,,,,-11400000.000,,,,3500000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInOtherComprehensiveIncome,,,,,,,,,,,,,,,,,2400000.000,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPurchases,,,,,,,,,233800000.000,,,,10000000.000,,,,92100000.000,,,,396400000.000,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPurchasesSalesIssuancesSettlements,,,,,,,,,,,,,,,,,,,,,,,,,-4000000.000
FiniteLivedIntangibleAssetsFutureAmortizationExpense,143000000.000,183000000.000,183000000.000,,,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfInvestments,0.000,,,,,,,,,,,,,,,,,,,,,,,,
GoodwillAcquiredDuringPeriod,,,,,,,,,83700000.000,,,,1536600000.000,,,,1732700000.000,,,,2729500000.000,,,,1213800000.000
GoodwillImpairmentLoss,,,,,,,,,198900000.000,0.000,0.000,-191800000.000,0.000,0.000,0.000,0.000,,,,,,,,,
GoodwillTranslationAndPurchaseAccountingAdjustments,,,,,,,,,-6500000.000,,,,0.000,,,,-28900000.000,,,,4600000.000,,,,47100000.000
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,16000000.000,,,27000000.000,0.000,,,19900000.000,19900000.000,,166000000.000,,,,0.000,,,,,,,,
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,,,,,,,,,,,,166000000.000,22000000.000,0.000,2300000.000,0.000,523300000.000,0.000,120400000.000,,,,,
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,,,,,,12100000.000,,,,0.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,258200000.000,274000000.000,261600000.000,296300000.000,287500000.000,291400000.000,268600000.000,63900000.000,119600000.000,332000000.000,332800000.000,909200000.000,304300000.000,348800000.000,575600000.000,2107500000.000,471300000.000,119900000.000,455500000.000,339100000.000,491700000.000,16600000.000,-597200000.000,575000000.000,362400000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,253100000.000,528300000.000,515800000.000,1985600000.000,412900000.000,164100000.000,477100000.000,283400000.000,409500000.000,86600000.000,-368500000.000,475900000.000,354800000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,,,,,0.433,0.901,0.878,3.384,0.701,0.278,0.807,0.479,0.690,0.120,-0.410,0.380,0.390
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,,,,,0.430,0.895,0.870,3.357,0.697,0.277,0.804,0.477,0.690,0.120,-0.410,0.370,0.390
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,,,-22700000.000,-5200000.000,-36100000.000,186700000.000,-2500000.000,-4500000.000,-24300000.000,-2800000.000,9500000.000,-248700000.000,-18300000.000,-18600000.000,20200000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,,,,,,-0.039,-0.009,-0.061,0.318,-0.004,-0.008,-0.041,-0.005,0.020,-0.360,-0.020,0.010,0.020
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,,,,,,-0.039,-0.009,-0.061,0.317,-0.004,-0.008,-0.041,-0.005,0.020,-0.360,-0.020,0.010,0.020
IncomeLossFromEquityMethodInvestments,1200000.000,1200000.000,800000.000,-700000.000,900000.000,-600000.000,200000.000,500000.000,400000.000,500000.000,-300000.000,3300000.000,-600000.000,3000000.000,1400000.000,-1100000.000,-1000000.000,100000.000,-700000.000,-600000.000,-100000.000,-900000.000,-900000.000,-6800000.000,-800000.000
IncomeTaxExpenseBenefit,48100000.000,69700000.000,69500000.000,,,,,,55200000.000,74400000.000,54300000.000,94000000.000,50600000.000,-176500000.000,61200000.000,120800000.000,57400000.000,-44100000.000,-22300000.000,55100000.000,82100000.000,-70900000.000,-229600000.000,92300000.000,6800000.000
IncomeTaxExpenseBenefitContinuingOperations,,,,,50000000.000,53000000.000,41600000.000,22400000.000,,,,,,,,,,,,,,,,,
IncomeTaxesPaid,6400000.000,,,,29500000.000,,,,96100000.000,,,,82600000.000,,,,-48800000.000,,,,89600000.000,,,,23100000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-72800000.000,,,,-30300000.000,,,,-93500000.000,,,,-145500000.000,,,,77500000.000,,,,-154600000.000,,,,-671500000.000
IncreaseDecreaseInAccountsReceivable,74800000.000,,,,65200000.000,,,,51300000.000,,,,77300000.000,,,,85100000.000,,,,100900000.000,,,,35300000.000
IncreaseDecreaseInDeferredIncomeTaxes,-42200000.000,,,,20800000.000,,,,-1400000.000,,,,-18500000.000,,,,-16600000.000,,,,10100000.000,,,,135500000.000
IncreaseDecreaseInInventories,12700000.000,,,,25000000.000,,,,29100000.000,,,,18600000.000,,,,22000000.000,,,,32200000.000,,,,151800000.000
IncreaseDecreaseInOtherOperatingAssets,-3900000.000,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-1100000.000,,,,-17200000.000,,,,61800000.000,,,,74600000.000,,,,-42400000.000,,,,22200000.000,,,,-14200000.000
IncreaseDecreaseInRestrictedCash,4100000.000,,,,-5700000.000,,,,2200000.000,,,,10100000.000,,,,14500000.000,,,,-64800000.000,,,,8500000.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,37500000.000
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,33200000.000,33500000.000,33500000.000,-66800000.000,33500000.000,33.500,33.500,-67.000,0.000,33800000.000,33800000.000,-34100000.000,0.000,0.000,0.000,0.000,,,,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,10900000.000,9300000.000,9000000.000,-18300000.000,8600000.000,4.400,3.700,-4000008.100,3800000.000,2600000.000,3500000.000,-5100000.000,4500000.000,3900000.000,5000000.000,-8800000.000,3600000.000,2700000.000,2500000.000,-6100000.000,1600000.000,0.000,0.000,4500000.000,7700000.000
InterestExpense,9200000.000,9900000.000,9700000.000,10300000.000,10200000.000,9600000.000,9200000.000,9200000.000,9100000.000,8900000.000,9000000.000,11100000.000,7800000.000,11100000.000,6800000.000,5100000.000,9600000.000,11300000.000,10700000.000,10000000.000,44700000.000,87200000.000,186900000.000,150800000.000,142300000.000
InterestIncomeDepositsWithFinancialInstitutions,600000.000,600000.000,300000.000,400000.000,800000.000,600000.000,900000.000,800000.000,700000.000,500000.000,400000.000,500000.000,500000.000,18700000.000,3600000.000,1900000.000,2000000.000,600000.000,800000.000,800000.000,1000000.000,1600000.000,9300000.000,6500000.000,3100000.000
InterestIncomeExpenseNet,,,,,,,,,,,,,,,,,,,,,,,-177600000.000,,-139200000.000
InterestOnConvertibleDebtNetOfTax,8400000.000,8400000.000,8400000.000,8400000.000,8400000.000,7800000.000,7500000.000,7600000.000,0.000,7500000.000,7600000.000,13200000.000,0.000,0.000,0.000,0.000,,,,,,,,,
InterestPaid,500000.000,,,,1100000.000,,,,1000000.000,,,,2600000.000,,,,5000000.000,,,,13900000.000,,,,108200000.000
LeaseAndRentalExpense,8700000.000,,,,12800000.000,,,,17800000.000,,,,13200000.000,,,,14200000.000,,,,7500000.000,22800000.000,32700000.000,37800000.000,42600000.000
NetCashProvidedByUsedInFinancingActivities,9000000.000,,,,35400000.000,,,,-72900000.000,,,,1345500000.000,,,,1709100000.000,,,,5217100000.000,,,,-401800000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,9000000.000,,,,35400000.000,,,,-72900000.000,,,,1345500000.000,,,,1709100000.000,,,,5217100000.000,,,,-401800000.000
NetCashProvidedByUsedInInvestingActivities,-51900000.000,,,,-34200000.000,,,,-121300000.000,,,,-3690200000.000,,,,-5177200000.000,,,,-5674100000.000,,,,-219800000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-51900000.000,,,,-34200000.000,,,,-121300000.000,,,,-3690200000.000,,,,-5177200000.000,,,,-5674100000.000,,,,-219800000.000
NetCashProvidedByUsedInOperatingActivities,201900000.000,,,,257000000.000,,,,160400000.000,,,,246100000.000,,,,561600000.000,,,,389500000.000,,,,459100000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,201900000.000,,,,257000000.000,,,,160400000.000,,,,246100000.000,,,,561600000.000,,,,389500000.000,,,,459100000.000
NetIncomeLoss,,205500000.000,192900000.000,,238400000.000,237800000.000,227200000.000,42000000.000,64800000.000,258100000.000,278200000.000,64000000.000,230400000.000,523100000.000,479700000.000,2172300000.000,410400000.000,159600000.000,452800000.000,280600000.000,419000000.000,-162100000.000,-386800000.000,457300000.000,375000000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,219700000.000,213900000.000,201300000.000,263700000.000,246800000.000,245600000.000,234700000.000,49600000.000,64800000.000,265600000.000,285800000.000,77200000.000,230400000.000,523100000.000,479700000.000,2172300000.000,,,,,,,,,
NonoperatingIncomeExpense,-8300000.000,-9300000.000,6200000.000,-7700000.000,-7500000.000,-10800000.000,-4800000.000,-14700000.000,-9500000.000,-9800000.000,-8000000.000,-12600000.000,-2600000.000,10900000.000,3600000.000,,-3300000.000,-12700000.000,-300000.000,,-52200000.000,-79600000.000,-191300000.000,-153700000.000,-134700000.000
OperatingExpenses,705700000.000,779600000.000,830700000.000,838200000.000,876800000.000,905600000.000,827000000.000,1122600000.000,1032800000.000,932700000.000,895800000.000,339500000.000,1039900000.000,1164200000.000,1025100000.000,1094900000.000,1013800000.000,1425000000.000,1199200000.000,1359200000.000,1165400000.000,2332900000.000,3858000000.000,3077400000.000,3075200000.000
OperatingIncomeLoss,266500000.000,283300000.000,255400000.000,304000000.000,295000000.000,302200000.000,273400000.000,78600000.000,129100000.000,341800000.000,340800000.000,921800000.000,306900000.000,337900000.000,572000000.000,481200000.000,474600000.000,132600000.000,455800000.000,356500000.000,543900000.000,96200000.000,-405900000.000,728700000.000,497100000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,,,1500000.000,200000.000,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,,,,,,,,,,,,,,,,,,-7400000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,70600000.000,29600000.000,-95600000.000,-28600000.000,36600000.000,-54300000.000,22700000.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,274700000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,,,,,,,,,,,,,,,,,-1800000.000,2200000.000,,-4500000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesTax,,,,,,,,,,,,,,,,,,,,,,1600000.000,1200000.000,,-2700000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,,-36100000.000,1600000.000,48900000.000,10900000.000,-1700000.000,11900000.000,-86100000.000,-60200000.000,-129500000.000,46200000.000,-41600000.000,-31500000.000,24700000.000,-220200000.000,234300000.000,-1362100000.000,265500000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,2600000.000,,,,-128800000.000,,,,24400000.000,,,,270500000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,,,,,,,,,,,,,,,,,,,,,,,,,400000.000
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,,,20000000.000,,,,0.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeTax,,,3500000.000,,,,0.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationAdjustmentForWriteDownOfSecuritiesIncludedInNetIncomeNetOfTax,-2400000.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationAdjustmentForWriteDownOfSecuritiesIncludedInNetIncomeTax,,0.000,0.000,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,10100000.000,5900000.000,-200000.000,400000.000,2900000.000,3100000.000,1200000.000,-4300000.000,-1700000.000,,,,4300000.000,-600000.000,-7200000.000,-2100000.000,700000.000,2600000.000,-2000000.000,2800000.000,-300000.000,-4400000.000,15100000.000,-2100000.000,2100000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,2300000.000,1100000.000,300000.000,-3500000.000,0.000,2900000.000,800000.000,-1200000.000,200000.000,900000.000,100000.000,-1100000.000,2500000.000,400000.000,3400000.000,-5000000.000,0.000,0.000,0.000,0.000,0.000,1400000.000,2400000.000,-3700000.000,2200000.000
OtherInterestAndDividendIncome,,,,,,,,,,,,,,,2800000.000,,,,,,,,,,
OtherNoncashIncomeExpense,,,,,5900000.000,,,,4600000.000,,,,2200000.000,,,,-1100000.000,,,,-9700000.000,,,,-26800000.000
OtherNonoperatingIncomeExpense,300000.000,0.000,15600000.000,2200000.000,1900000.000,-1800000.000,3500000.000,-6300000.000,-1100000.000,-1400000.000,600000.000,-2000000.000,4700000.000,3300000.000,6800000.000,-5900000.000,4300000.000,-2000000.000,9600000.000,-8200000.000,-8500000.000,6000000.000,-13700000.000,-9400000.000,4500000.000
OtherSalesRevenueNet,9300000.000,6200000.000,4900000.000,9300000.000,8600000.000,3800000.000,4100000.000,16400000.000,6700000.000,8000000.000,4100000.000,4300000.000,6400000.000,3300000.000,5200000.000,16000000.000,2400000.000,2300000.000,1900000.000,9700000.000,2800000.000,,,,
PaymentsForLegalSettlements,,,,,,,,,,,,,,,,,,,,,,,,,345500000.000
PaymentsForProceedsFromOtherInvestingActivities,,,,,,,,,,,,,-2900000.000,,,,0.000,,,,-2500000.000,,,,-1200000.000
PaymentsForRepurchaseOfCommonStock,,,,,,,,,70600000.000,,,,0.000,,,,,,,,,,,,
PaymentsForRestructuring,,,,,,,,,,,,,-59000000.000,,,,-10100000.000,,,,23700000.000,,,,33300000.000
PaymentsOfFinancingCosts,,,,,,,,,,,,,,,,,,,,,93800000.000,,,,0.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,,,,77200000.000,,,,3764400000.000,,,,5199700000.000,,,,5692800000.000,,,,0.000
PaymentsToAcquireIntangibleAssets,,,,,22000000.000,,,,0.000,,,,,,,,,,,,,,,,
PaymentsToAcquireInvestments,2500000.000,,,,4100000.000,,,,2800000.000,,,,15600000.000,,,,22300000.000,,,,51600000.000,,,,212500000.000
PaymentsToAcquireOtherPropertyPlantAndEquipment,46500000.000,,,,31700000.000,,,,47300000.000,,,,,,,,,,,,,,,,
ProceedsFromCollaborators,5000000.000,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromDerivativeInstrumentFinancingActivities,,,,,,,,,,,,,346700000.000,,,,0.000,,,,,,,,
ProceedsFromLinesOfCredit,,,,,,,,,,,,,2170000000.000,,,,2230000000.000,,,,6305000000.000,,,,1401900000.000
ProceedsFromPaymentsForOtherFinancingActivities,,,,,,,,,-700000.000,,,,200000.000,,,,-3200000.000,,,,-100000.000,,,,-100000.000
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,,,,,,,,,,,,,,,,,,,,,0.000
ProceedsFromSaleMaturityAndCollectionOfShorttermInvestments,,,,,,,,,,,,,46800000.000,,,,54500000.000,,,,0.000,,,,
ProceedsFromSaleOfIntangibleAssets,,,,,5600000.000,,,,4800000.000,,,,48000000.000,,,,3900000.000,,,,3000000.000,,,,
ProceedsFromStockOptionsExercised,200000.000,,,,900000.000,,,,,,,,,,,,,,,,,,,,22100000.000
ProfitLoss,211300000.000,205500000.000,192900000.000,255300000.000,238400000.000,237800000.000,227200000.000,,,,,,,,,,,,,,,,,,
ProvisionForDoubtfulAccounts,,,,,65400000.000,,,,76300000.000,,,,80700000.000,,,,80800000.000,,,,149400000.000,,,,295200000.000
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,4200000.000
ReorganizationItems,5500000.000,7500000.000,5000000.000,6300000.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,
RepaymentsOfAssumedDebt,,,,,,,,,,,,,533900000.000,,,,0.000,,,,,,,,
RepaymentsOfLinesOfCredit,,,,,,,,,,,,,650200000.000,,,,535200000.000,,,,995100000.000,,,,1825700000.000
RepaymentsOfLongTermCapitalLeaseObligations,200000.000,,,,300000.000,,,,,,,,,,,,,,,,,,,,
ResearchAndDevelopmentExpense,177900000.000,176900000.000,201500000.000,214400000.000,220300000.000,238600000.000,224700000.000,281900000.000,224200000.000,260100000.000,229100000.000,220000000.000,360500000.000,236900000.000,228600000.000,241500000.000,193700000.000,775900000.000,241200000.000,353200000.000,217100000.000,294800000.000,511100000.000,416800000.000,379300000.000
RestructuringCharges,,,,,,,,,17500000.000,26400000.000,13700000.000,30600000.000,49400000.000,45800000.000,28200000.000,57500000.000,15200000.000,13300000.000,31100000.000,38300000.000,3300000.000,11000000.000,101400000.000,5700000.000,5500000.000
RestructuringReservePeriodExpense,5500000.000,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,972200000.000,1062900000.000,1086100000.000,1142200000.000,1171800000.000,1207800000.000,1100400000.000,1201200000.000,1161900000.000,1274500000.000,1236600000.000,1261300000.000,1346800000.000,1502100000.000,1597100000.000,1576100000.000,1488400000.000,1557600000.000,1655000000.000,1715700000.000,1709300000.000,2429100000.000,3452100000.000,3806100000.000,3572300000.000
RevenuesFromExternalCustomers,,,,,,,,,,,1194900000.000,,,,,,,,,,,,,,
RoyaltyRevenue,73600000.000,63400000.000,62800000.000,83700000.000,56300000.000,56300000.000,41800000.000,87200000.000,38500000.000,36300000.000,37600000.000,41300000.000,32300000.000,29200000.000,39900000.000,59400000.000,62800000.000,79100000.000,76300000.000,82300000.000,79200000.000,107000000.000,136700000.000,187900000.000,160000000.000
SalesRevenueGoodsNet,889300000.000,993300000.000,1018400000.000,1049200000.000,1106900000.000,1147700000.000,1054500000.000,1097600000.000,1116700000.000,1230200000.000,1194900000.000,1215700000.000,1308100000.000,1469600000.000,1552000000.000,1500700000.000,1423200000.000,1476200000.000,1576800000.000,1623700000.000,1627300000.000,2322100000.000,3315400000.000,3621000000.000,3412300000.000
SalesRevenueNet,972200000.000,1062900000.000,1086100000.000,1142200000.000,1171800000.000,1207800000.000,1100400000.000,1201200000.000,1161900000.000,1274500000.000,1236600000.000,1261300000.000,1346800000.000,1502100000.000,1597100000.000,1576100000.000,1488400000.000,1557600000.000,1655000000.000,1715700000.000,1709300000.000,2429100000.000,3452100000.000,3806100000.000,3572300000.000
SellingGeneralAndAdministrativeExpense,402900000.000,440300000.000,452100000.000,456100000.000,500000000.000,511000000.000,437400000.000,665600000.000,438700000.000,457600000.000,441100000.000,313900000.000,430300000.000,496200000.000,522900000.000,576400000.000,506600000.000,627300000.000,575000000.000,632300000.000,609500000.000,675300000.000,875600000.000,854800000.000,888900000.000
ShareBasedCompensation,15700000.000,,,,22000000.000,,,,16600000.000,,,,26200000.000,,,,15300000.000,,,,18300000.000,,,,52700000.000
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,,,,300000.000,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueEmployeeBenefitPlan,,,,,,,,,,,,,,,,,,,,,,,,,46700000.000
StockIssuedDuringPeriodValueStockOptionsExercised,100000.000,,,,100000.000,,,,0.000,,,,0.000,,,,200000.000,,,,100000.000,,,,
